,quote,author,categories
92,인간의 본성은 착한 것이다.,맹자,"인간, 본성, 선(good)"
93,인간의 본성은 악한 것이다.,순자,"인간, 본성, 악(evil)"
94,열 길 물속은 알아도 한 길 사람 마음은 모른다.,한국 속담,"사람, 마음"
95,"호랑이는 그리되 뼈는 그리기 어렵고, 사람을 알되 마음은 알지 못한다.",명심보감,"사람, 마음"
96,사람과 쪽박은 있는 대로 쓴다.,한국 속담,"사람, 쪽박, 쓰임새"
97,사람 살 곳은 골골이 있다.,한국 속담,"사람, 사람환경"
98,사람은 열 번 된다.,한국 속담,"사람, 인생살이"
99,나는 자신을 발견했을 때 졸도할 뻔했다.,M. 루터,자기자신
100,"사람은 절반은 짐승이요, 절반은 마귀인 것이다.",휘필드,"사람, 인간"
101,인간은 반항하는 존재다.,까뮈,인간
102,"우리는 사람을 알려고 할 때, 그 사람의 손이나 발을 보지 않고 머리를 본다.",캘빈,사람평가
103,인간은 목표를 추구하도록 만들어 놓는 존재다.,M. 말쯔,"인간, 목표"
104,인간의 행실은 각자가 자기의 이미지를 보여주는 거울이다.,J.W. 괴테,"행동, 행실, 자기자신"
105,"집안 사람의 허물이 있거든 마땅히 몹시 성내지 말 것이며 가볍게 여기지 말고 그 일을 말하기 어려우면 다른 일을 비유하여 은근히 깨우치라. 오늘에 깨우치지 못하거든 내일을 기다려 다시 경계하라. 봄바람이 언 것을 풀듯, 화기가 얼음을 녹이듯 하라. 이것이 바로 가정의 규범이다.",채근담,"가정, 아내, 남편, 인간관계"
106,안락한 가정은 행복의 근원으로 그것은 바로 건강과 착한 양심 다음의 위치를 차지한다.,S. 스미드,"가정, 행복"
107,가정에서 행복해지는 것은 온갖 염원의 궁극적인 결과이다.,S. 존슨,"가정, 행복, 염원"
108,"사람은 집에 있을 때 그의 행복에 가장 가까와지고, 밖으로 나가면 그의 행복에서 가장 멀어지는 법이다.",J.G. 홀런드,"행복, 집(home)"
109,"쾌락과 궁궐 속을 다닐지라도, 아무리 초라해도 내 집과 같은 곳은 없다.",존 하워드 페인,"가정, 집(home)"
110,"가정생활의 안전과 향상이 문명의 중요 목적이요, 모든 산업의 궁극적 목적이다.",C.W. 엘리어트,"가정, 문명"
111,요즈음은 부모에게 물질로써 봉양함을 효도라 한다. 그러나 개나 말도 집에 두고 먹이지 않는가. 공경하는 마음이 여기에 따르지 않으면 짐승과 무엇이 다르겠는가.,논어 위정편,"효도, 부모, 봉양"
112,아버님 날 낳으시고 어머님 날 기르시니 두 분 곧 아니시면 이 몸이 살았을까. 하늘 같은 은덕을 어디다가 갚사오리.,정철,"부모, 효도"
113,한 아버지는 열 아들을 기를 수 있으나 열 아들은 한 아버지를 봉양키 어렵다.,독일 격언,"아버지, 아들, 효도, 봉양"
114,아버지에게 손찌검을 하는 아들을 둔 아버지는 누구나 죄인이다. 자기에게 손찌검을 하는 아들을 만들었기 때문이다.,C. 페기,"자녀교육, 아들, 아버지"
115,"어버이께 효도하면 자식이 또한 효도하고, 이 몸이 이미 효도하지 못했으면 자식이 어찌 효도하리요.",강태공,"자녀교육, 효도"
