,quote,author,categories
116,"부모가 이미 세상을 떠나고 안 계시더라도, 무슨 일을 당했을 때 옳게 행동하는 것은 부모의 명예를 빛내는 것이니 힘을 주어 하게 되고, 한편으로는 나쁜 짓을 하려다가도 부모의 이름을 더럽히지 않으려고 다시 반성하여 좋지 않은 일은 하지 않는 것이다.",예기,"부모, 명예, 인생살이"
117,한 몸 둘에 나눠 부부를 만드시니 있을 제 함께 늙고 죽으면 함께 간다. 어디서 망령의 것이 눈흘기려 하느뇨.,정철,부부
118,아내를 눈으로 보고서만 택해선 안 된다. 눈보다는 귀로써 아내를 선택하라.,토마스 풀러,"아내, 결혼"
119,남편에 대한 슬픔은 팔꿈치 속의 아픔과 같이 매섭고 짧다.,토마스 풀러,"남편, 아내, 슬픔"
120,착한 아내와 건강은 남자의 가장 훌륭한 재산이다.,H. 스퍼전,"남자, 재산, 건강, 아내"
121,"여자에게는 칭찬받을 네 가지 덕이 있으니 덕성, 용의, 말씨, 솜씨이다.",명심보감 부행편,여자
122,"살림을 못하는 여자는 집에 있어도 행복하지 않으며, 집에서 행복하지 못한 여자는 어디를 가도 행복할 수 없다.",톨스토이,"여자, 살림, 행복"
123,남편들이 보통 친구들에게 베푸는 것과 꼭 같은 정도의 예의만을 부인에게 베푼다면 결혼생활의 파탄은 훨씬 줄어들 것이다.,화브스타인,"결혼생활, 남편"
124,"부부된 자는 의로써 화친하고 은으로써 호합한다. 남편이 아내를 때리면 무슨 의가 있겠으며, 또 꾸짖으면 무슨 은이 있겠는가.",후한서,부부
125,설사 간하여 쫓지 않으시더라도 공경해야 한다. 속으로는 애태울지언정 부모를 원망해서는 안 된다.,논어,"부모, 공경"
126,부모의 나이는 반드시 기억하고 있어야 한다. 한편으로는 오래 사신 것을 기뻐하고 또 한편으로는 나이 많은 것을 걱정해야 한다.,논어,"부모, 효도"
127,내가 성공을 했다면 오직 천사와 같은 어머니의 덕이다.,A. 링컨,"성공, 어머니"
128,"부모를 공경하는 효행은 쉬우나, 부모를 사랑하는 효행은 어렵다.",장자,"부모, 효도, 효행"
